#           x             T        mag(U)             p
       -4.995       348.432   2.26103e-13        100000
       -4.985       348.432   1.25451e-12        100000
       -4.975       348.432   1.26909e-12        100000
       -4.965       348.432   1.94741e-12        100000
       -4.955       348.432   2.24645e-12        100000
       -4.945       348.432   3.20921e-12        100000
       -4.935       348.432   4.07715e-12        100000
       -4.925       348.432   4.91592e-12        100000
       -4.915       348.432   6.63722e-12        100000
       -4.905       348.432   5.34625e-12        100000
       -4.895       348.432   4.17197e-12        100000
       -4.885       348.432   3.31132e-12        100000
       -4.875       348.432    3.9021e-12        100000
       -4.865       348.432   5.74011e-12        100000
       -4.855       348.432   6.97273e-12        100000
       -4.845       348.432   7.16966e-12        100000
       -4.835       348.432   5.76928e-12        100000
       -4.825       348.432   3.43531e-12        100000
       -4.815       348.432   1.58272e-12        100000
       -4.805       348.432   2.21727e-12        100000
       -4.795       348.432    3.2165e-12        100000
       -4.785       348.432    4.2595e-12        100000
       -4.775       348.432   4.98156e-12        100000
       -4.765       348.432   4.41266e-12        100000
       -4.755       348.432   3.58118e-12        100000
       -4.745       348.432   2.09327e-12        100000
       -4.735       348.432   2.21727e-12        100000
       -4.725       348.432   3.40613e-12        100000
       -4.715       348.432    4.2522e-12        100000
       -4.705       348.432   4.68252e-12        100000
       -4.695       348.432    4.2522e-12        100000
       -4.685       348.432   4.01151e-12        100000
       -4.675       348.432   4.11361e-12        100000
       -4.665       348.432   3.46449e-12        100000
       -4.655       348.432    2.9904e-12        100000
       -4.645       348.432   2.46526e-12        100000
       -4.635       348.432   1.08676e-12        100000
       -4.625       348.432   1.83071e-12        100000
       -4.615       348.432   3.92399e-12        100000
       -4.605       348.432   6.65911e-12        100000
       -4.595       348.432   7.95008e-12        100000
       -4.585       348.432   7.85526e-12        100000
       -4.575       348.432   6.92167e-12        100000
       -4.565       348.432   7.16237e-12        100000
       -4.555       348.432   6.09749e-12        100000
       -4.545       348.432   5.25143e-12        100000
       -4.535       348.432   5.55776e-12        100000
       -4.525       348.432   4.60958e-12        100000
       -4.515       348.432    3.5666e-12        100000
       -4.505       348.432   2.61113e-12        100000
       -4.495       348.432   4.31055e-12        100000
       -4.485       348.432   4.84299e-12        100000
       -4.475       348.432    4.3616e-12        100000
       -4.465       348.432    3.2165e-12        100000
       -4.455       348.432   2.61113e-12        100000
       -4.445       348.432   4.30325e-12        100000
       -4.435       348.432   4.79193e-12        100000
       -4.425       348.432   5.84221e-12        100000
       -4.415       348.432   5.47024e-12        100000
       -4.405       348.432   4.98156e-12        100000
       -4.395       348.432   4.04798e-12        100000
       -4.385       348.432    3.4499e-12        100000
       -4.375       348.432   4.20115e-12        100000
       -4.365       348.432   5.71093e-12        100000
       -4.355       348.432   6.06103e-12        100000
       -4.345       348.432   5.90786e-12        100000
       -4.335       348.432   5.79845e-12        100000
       -4.325       348.432   6.44029e-12        100000
       -4.315       348.432   5.57235e-12        100000
       -4.305       348.432   4.91592e-12        100000
       -4.295       348.432   5.50671e-12        100000
       -4.285       348.432   6.71016e-12        100000
       -4.275       348.432   6.50593e-12        100000
       -4.265       348.432   8.16159e-12        100000
       -4.255       348.432   9.14623e-12        100000
       -4.245       348.432   8.56274e-12        100000
       -4.235       348.432   9.51822e-12        100000
       -4.225       348.432   1.02549e-11        100000
       -4.215       348.432   1.07071e-11        100000
       -4.205       348.432   8.65756e-12        100000
       -4.195       348.432   5.63799e-12        100000
       -4.185       348.432   2.69136e-12        100000
       -4.175       348.432   3.39884e-12        100000
       -4.165       348.432   5.92245e-12        100000
       -4.155       348.432   7.17695e-12        100000
       -4.145       348.432    7.1259e-12        100000
       -4.135       348.432   5.90785e-12        100000
       -4.125       348.432   5.35354e-12        100000
       -4.115       348.432   5.03262e-12        100000
       -4.105       348.432   6.14854e-12        100000
       -4.095       348.432   7.54892e-12        100000
       -4.085       348.432   8.78885e-12        100000
       -4.075       348.432   9.10977e-12        100000
       -4.065       348.432   8.81073e-12        100000
       -4.055       348.432   8.75238e-12        100000
       -4.045       348.432   7.75315e-12        100000
       -4.035       348.432   7.83338e-12        100000
       -4.025       348.432   7.67292e-12        100000
       -4.015       348.432   8.51169e-12        100000
       -4.005       348.432   9.69326e-12        100000
       -3.995       348.432   9.22647e-12        100000
       -3.985       348.432   8.43146e-12        100000
       -3.975       348.432   6.21419e-12        100000
       -3.965       348.432   3.83646e-12        100000
       -3.955       348.432   3.50825e-12        100000
       -3.945       348.432    4.2522e-12        100000
       -3.935       348.432   3.59577e-12        100000
       -3.925       348.432   4.74087e-12        100000
       -3.915       348.432   6.46946e-12        100000
       -3.905       348.432   7.45411e-12        100000
       -3.895       348.432   6.39653e-12        100000
       -3.885       348.432    6.2069e-12        100000
       -3.875       348.432    7.1259e-12        100000
       -3.865       348.432   8.74509e-12        100000
       -3.855       348.432   7.26448e-12        100000
       -3.845       348.432   3.77081e-12        100000
       -3.835       348.432   1.59731e-12        100000
       -3.825       348.432   1.59002e-12        100000
       -3.815       348.432   3.59577e-12        100000
       -3.805       348.432   6.18501e-12        100000
       -3.795       348.432   7.03108e-12        100000
       -3.785       348.432    5.3973e-12        100000
       -3.775       348.432   3.54472e-12        100000
       -3.765       348.432   3.59577e-12        100000
       -3.755       348.432   5.36813e-12        100000
       -3.745       348.432   7.47599e-12        100000
       -3.735       348.432   8.46793e-12        100000
       -3.725       348.432   6.59346e-12        100000
       -3.715       348.432   4.06985e-12        100000
       -3.705       348.432   2.73512e-12        100000
       -3.695       348.432   3.23838e-12        100000
       -3.685       348.432   4.28866e-12        100000
       -3.675       348.432   5.42648e-12        100000
       -3.665       348.432    4.2449e-12        100000
       -3.655       348.432   3.64683e-12        100000
       -3.645       348.432   3.12898e-12        100000
       -3.635       348.432   3.35508e-12        100000
       -3.625       348.432   3.69788e-12        100000
       -3.615       348.432   3.60307e-12        100000
       -3.605       348.432   1.97658e-12        100000
       -3.595       348.432   1.19616e-12        100000
       -3.585       348.432   2.12975e-12        100000
       -3.575       348.432   2.70594e-12        100000
       -3.565       348.432    4.1355e-12        100000
       -3.555       348.432   6.03914e-12        100000
       -3.545       348.432   6.41841e-12        100000
       -3.535       348.432    5.2879e-12        100000
       -3.525       348.432   4.10632e-12        100000
       -3.515       348.432    4.0188e-12        100000
       -3.505       348.432   3.46448e-12        100000
       -3.495       348.432   2.67677e-12        100000
       -3.485       348.432   1.47332e-12        100000
