#           x             T        mag(U)             p
       -4.995       348.432   2.32084e-12        100000
       -4.985       348.432   2.32084e-12        100000
       -4.975       348.432   2.32084e-12        100000
       -4.965       348.432   2.32084e-12        100000
       -4.955       348.432   2.32084e-12        100000
       -4.945       348.432   2.29254e-12        100000
       -4.935       348.432   2.23594e-12        100000
       -4.925       348.432   2.17934e-12        100000
       -4.915       348.432   2.12274e-12        100000
       -4.905       348.432   2.06614e-12        100000
       -4.895       348.432   2.00955e-12        100000
       -4.885       348.432   1.95295e-12        100000
       -4.875       348.432   1.89635e-12        100000
       -4.865       348.432   1.83975e-12        100000
       -4.855       348.432   1.78315e-12        100000
       -4.845       348.432   1.68483e-12        100000
       -4.835       348.432   1.54479e-12        100000
       -4.825       348.432   1.40476e-12        100000
       -4.815       348.432   1.26472e-12        100000
       -4.805       348.432   1.12468e-12        100000
       -4.795       348.432   9.84642e-13        100000
       -4.785       348.432   8.44604e-13        100000
       -4.775       348.432   7.04566e-13        100000
       -4.765       348.432   5.64528e-13        100000
       -4.755       348.432    4.2449e-13        100000
       -4.745       348.432   3.41999e-13        100000
       -4.735       348.432   3.17055e-13        100000
       -4.725       348.432   2.92111e-13        100000
       -4.715       348.432   2.67166e-13        100000
       -4.705       348.432   2.42222e-13        100000
       -4.695       348.432   2.17278e-13        100000
       -4.685       348.432   1.92334e-13        100000
       -4.675       348.432   1.67389e-13        100000
       -4.665       348.432   1.42445e-13        100000
       -4.655       348.432   1.17501e-13        100000
       -4.645       348.432   1.05321e-13        100000
       -4.635       348.432   1.05904e-13        100000
       -4.625       348.432   1.06487e-13        100000
       -4.615       348.432   1.07071e-13        100000
       -4.605       348.432   1.07654e-13        100000
       -4.595       348.432   1.08238e-13        100000
       -4.585       348.432   1.08821e-13        100000
       -4.575       348.432   1.09404e-13        100000
       -4.565       348.432   1.09988e-13        100000
       -4.555       348.432   1.10571e-13        100000
       -4.545       348.432   1.84966e-13        100000
       -4.535       348.432   3.33173e-13        100000
       -4.525       348.432    4.8138e-13        100000
       -4.515       348.432   6.29586e-13        100000
       -4.505       348.432   7.77793e-13        100000
       -4.495       348.432      9.26e-13        100000
       -4.485       348.432   1.07421e-12        100000
       -4.475       348.432   1.22241e-12        100000
       -4.465       348.432   1.37062e-12        100000
       -4.455       348.432   1.51883e-12        100000
       -4.445       348.432   1.51372e-12        100000
       -4.435       348.432    1.3553e-12        100000
       -4.425       348.432   1.19689e-12        100000
       -4.415       348.432   1.03847e-12        100000
       -4.405       348.432    8.8005e-13        100000
       -4.395       348.432   7.21632e-13        100000
       -4.385       348.432   5.63215e-13        100000
       -4.375       348.432   4.04797e-13        100000
       -4.365       348.432   2.46379e-13        100000
       -4.355       348.432   8.79613e-14        100000
       -4.345       348.432   9.36503e-14        100000
       -4.335       348.432   2.63446e-13        100000
       -4.325       348.432   4.33242e-13        100000
       -4.315       348.432   6.03038e-13        100000
       -4.305       348.432   7.72833e-13        100000
       -4.295       348.432   9.42629e-13        100000
       -4.285       348.432   1.11242e-12        100000
       -4.275       348.432   1.28222e-12        100000
       -4.265       348.432   1.45202e-12        100000
       -4.255       348.432   1.62181e-12        100000
       -4.245       348.432   1.62196e-12        100000
       -4.235       348.432   1.45245e-12        100000
       -4.225       348.432   1.28295e-12        100000
       -4.215       348.432   1.11345e-12        100000
       -4.205       348.432   9.43942e-13        100000
       -4.195       348.432   7.74438e-13        100000
       -4.185       348.432   6.04934e-13        100000
       -4.175       348.432    4.3543e-13        100000
       -4.165       348.432   2.65926e-13        100000
       -4.155       348.432   9.64218e-14        100000
       -4.145       348.432   2.04222e-14        100000
       -4.135       348.432   3.79269e-14        100000
       -4.125       348.432   5.54316e-14        100000
       -4.115       348.432   7.29363e-14        100000
       -4.105       348.432    9.0441e-14        100000
       -4.095       348.432   1.07946e-13        100000
       -4.085       348.432    1.2545e-13        100000
       -4.075       348.432   1.42955e-13        100000
       -4.065       348.432    1.6046e-13        100000
       -4.055       348.432   1.77965e-13        100000
       -4.045       348.432   2.95684e-13        100000
       -4.035       348.432   5.13618e-13        100000
       -4.025       348.432   7.31553e-13        100000
       -4.015       348.432   9.49487e-13        100000
       -4.005       348.432   1.16742e-12        100000
       -3.995       348.432   1.38536e-12        100000
       -3.985       348.432   1.60329e-12        100000
       -3.975       348.432   1.82122e-12        100000
       -3.965       348.432   2.03916e-12        100000
       -3.955       348.432   2.25709e-12        100000
       -3.945       348.432   2.76728e-12        100000
       -3.935       348.432   3.56973e-12        100000
       -3.925       348.432   4.37217e-12        100000
       -3.915       348.432   5.17461e-12        100000
       -3.905       348.432   5.97706e-12        100000
       -3.895       348.432    6.7795e-12        100000
       -3.885       348.432   7.58195e-12        100000
       -3.875       348.432   8.38439e-12        100000
       -3.865       348.432   9.18683e-12        100000
       -3.855       348.432   9.98928e-12        100000
       -3.845       348.432   1.27078e-11        100000
       -3.835       348.432   1.73425e-11        100000
       -3.825       348.432   2.19772e-11        100000
       -3.815       348.432   2.66119e-11        100000
       -3.805       348.432   3.12466e-11        100000
       -3.795       348.432   3.58812e-11        100000
       -3.785       348.432   4.05159e-11        100000
       -3.775       348.432   4.51506e-11        100000
       -3.765       348.432   4.97853e-11        100000
       -3.755       348.432     5.442e-11        100000
       -3.745       348.432   6.87836e-11        100000
       -3.735       348.432   9.28763e-11        100000
       -3.725       348.432   1.16969e-10        100000
       -3.715       348.432   1.41062e-10        100000
       -3.705       348.432   1.65154e-10        100000
       -3.695       348.432   1.89247e-10        100000
       -3.685       348.432    2.1334e-10        100000
       -3.675       348.432   2.37432e-10        100000
       -3.665       348.432   2.61525e-10        100000
       -3.655       348.432   2.85618e-10        100000
       -3.645       348.432   3.58962e-10        100000
       -3.635       348.432   4.81559e-10        100000
       -3.625       348.432   6.04156e-10        100000
       -3.615       348.432   7.26752e-10        100000
       -3.605       348.432   8.49349e-10        100000
       -3.595       348.432   9.71945e-10        100000
       -3.585       348.432   1.09454e-09        100000
       -3.575       348.432   1.21714e-09        100000
       -3.565       348.432   1.33974e-09        100000
       -3.555       348.432   1.46233e-09        100000
       -3.545       348.432   1.82499e-09        100000
       -3.535       348.432   2.42771e-09        100000
       -3.525       348.432   3.03043e-09        100000
       -3.515       348.432   3.63315e-09        100000
       -3.505       348.432   4.23587e-09        100000
       -3.495       348.432   4.83859e-09        100000
       -3.485       348.432   5.44131e-09        100000
       -3.475       348.432   6.04403e-09        100000
       -3.465       348.432   6.64675e-09        100000
       -3.455       348.432   7.24947e-09        100000
       -3.445       348.432   8.98528e-09        100000
       -3.435       348.432   1.18542e-08        100000
       -3.425       348.432   1.47231e-08        100000
       -3.415       348.432    1.7592e-08        100000
       -3.405       348.432   2.04609e-08        100000
       -3.395       348.432   2.33298e-08        100000
       -3.385       348.432   2.61987e-08        100000
       -3.375       348.432   2.90676e-08        100000
       -3.365       348.432   3.19365e-08        100000
       -3.355       348.432   3.48054e-08        100000
       -3.345       348.432   4.28479e-08        100000
       -3.335       348.432   5.60639e-08        100000
       -3.325       348.432   6.92799e-08        100000
       -3.315       348.432   8.24959e-08        100000
       -3.305       348.432   9.57119e-08        100000
       -3.295       348.432   1.08928e-07        100000
       -3.285       348.432   1.22144e-07        100000
       -3.275       348.432    1.3536e-07        100000
       -3.265       348.432   1.48576e-07        100000
       -3.255       348.432   1.61792e-07        100000
       -3.245       348.432   1.97765e-07        100000
       -3.235       348.432   2.56495e-07        100000
       -3.225       348.432   3.15225e-07        100000
       -3.215       348.432   3.73956e-07        100000
       -3.205       348.432   4.32686e-07        100000
       -3.195       348.432   4.91416e-07        100000
       -3.185       348.432   5.50146e-07        100000
       -3.175       348.432   6.08877e-07        100000
       -3.165       348.432   6.67607e-07        100000
       -3.155       348.432   7.26337e-07        100000
       -3.145       348.432   8.81612e-07        100000
       -3.135       348.432   1.13343e-06        100000
       -3.125       348.432   1.38525e-06        100000
       -3.115       348.432   1.63707e-06        100000
       -3.105       348.432    1.8889e-06        100000
       -3.095       348.432   2.14072e-06        100000
       -3.085       348.432   2.39254e-06        100000
       -3.075       348.432   2.64436e-06        100000
       -3.065       348.432   2.89618e-06        100000
       -3.055       348.432     3.148e-06        100000
       -3.045       348.432   3.79305e-06        100000
       -3.035       348.432   4.83133e-06        100000
       -3.025       348.432   5.86961e-06        100000
       -3.015       348.432   6.90789e-06        100000
       -3.005       348.432   7.94617e-06        100000
       -2.995       348.432   8.98444e-06        100000
       -2.985       348.432   1.00227e-05        100000
       -2.975       348.432    1.1061e-05        100000
       -2.965       348.432   1.20993e-05        100000
       -2.955       348.432   1.31376e-05        100000
       -2.945       348.432   1.57144e-05        100000
       -2.935       348.432   1.98298e-05        100000
       -2.925       348.432   2.39452e-05        100000
       -2.915       348.432   2.80606e-05        100000
       -2.905       348.432    3.2176e-05        100000
       -2.895       348.432   3.62913e-05        100000
       -2.885       348.432   4.04067e-05        100000
       -2.875       348.432   4.45221e-05        100000
       -2.865       348.432   4.86375e-05        100000
       -2.855       348.432   5.27529e-05        100000
       -2.845       348.432   6.26222e-05        100000
       -2.835       348.432   7.82455e-05        100000
       -2.825       348.432   9.38687e-05        100000
       -2.815       348.432   0.000109492        100000
       -2.805       348.432   0.000125115        100000
       -2.795       348.432   0.000140738       99999.9
       -2.785       348.432   0.000156362       99999.9
       -2.775       348.432   0.000171985       99999.9
       -2.765       348.432   0.000187608       99999.9
       -2.755       348.432   0.000203231       99999.9
       -2.745       348.432    0.00023942       99999.9
       -2.735       348.432   0.000296173       99999.9
       -2.725       348.432   0.000352926       99999.8
       -2.715       348.432   0.000409679       99999.8
       -2.705       348.432   0.000466432       99999.8
       -2.695       348.432   0.000523186       99999.8
       -2.685       348.432   0.000579939       99999.8
       -2.675       348.432   0.000636692       99999.8
       -2.665       348.432   0.000693445       99999.7
       -2.655       348.432   0.000750198       99999.7
       -2.645       348.432     0.0008768       99999.7
       -2.635       348.432    0.00107325       99999.6
       -2.625       348.432     0.0012697       99999.5
       -2.615       348.432    0.00146615       99999.5
