"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0020958,3.1099,4.7696e-20,1.354,1,5.2709,22.532,-31.756,0
-0.0023203,3.1118,4.8329e-20,1.3478,1,5.3403,22.539,-31.687,0
-0.0025449,3.1138,4.8987e-20,1.3417,1,5.4096,22.546,-31.618,0
-0.0027697,3.1157,4.9672e-20,1.3355,1,5.479,22.553,-31.549,0
-0.0029946,3.1177,5.0384e-20,1.3294,1,5.5483,22.56,-31.48,0
-0.0032197,3.1197,5.1122e-20,1.3232,1,5.6177,22.567,-31.411,0
-0.0034405,3.1216,5.163e-20,1.3171,1,5.687,22.574,-31.342,0
-0.0036304,3.1236,4.6619e-20,1.3111,1,5.7564,22.581,-31.273,0
-0.0038123,3.1255,3.9596e-20,1.3052,1,5.8257,22.588,-31.204,0
-0.0039951,3.1274,3.2797e-20,1.2994,1,5.8951,22.595,-31.135,0
-0.0041789,3.1293,2.622e-20,1.2935,1,5.9645,22.602,-31.066,0
-0.0043636,3.1312,1.9865e-20,1.2876,1,6.0338,22.609,-30.997,0
-0.0045493,3.1331,1.3733e-20,1.2818,1,6.1032,22.616,-30.928,0
-0.0047358,3.135,7.8229e-21,1.2759,1,6.1725,22.623,-30.859,0
-0.0049234,3.1369,2.1345e-21,1.27,1,6.2419,22.63,-30.79,0
-0.0051118,3.1388,-3.3327e-21,1.2641,1,6.3112,22.637,-30.721,0
-0.0053012,3.1407,-8.5788e-21,1.2583,1,6.3806,22.644,-30.652,0
-0.0054915,3.1426,-1.3604e-20,1.2524,1,6.4499,22.651,-30.583,0
-0.0056828,3.1445,-1.8409e-20,1.2465,1,6.5193,22.658,-30.514,0
-0.0058749,3.1464,-2.2993e-20,1.2407,1,6.5886,22.665,-30.445,0
-0.0060518,3.1483,-2.3616e-20,1.2349,1,6.658,22.672,-30.376,0
-0.0062152,3.1501,-2.09e-20,1.2292,1,6.7274,22.679,-30.307,0
-0.0063799,3.152,-1.8297e-20,1.2236,1,6.7967,22.686,-30.238,0
-0.0065459,3.1538,-1.5806e-20,1.2179,1,6.8661,22.693,-30.169,0
-0.0067132,3.1556,-1.3426e-20,1.2122,1,6.9354,22.7,-30.1,0
-0.0068818,3.1575,-1.1157e-20,1.2066,1,7.0048,22.707,-30.031,0
-0.0070517,3.1593,-8.9999e-21,1.2009,1,7.0741,22.714,-29.962,0
-0.007223,3.1612,-6.9538e-21,1.1952,1,7.1435,22.721,-29.893,0
-0.0073955,3.163,-5.0186e-21,1.1895,1,7.2128,22.728,-29.824,0
-0.0075693,3.1648,-3.1944e-21,1.1838,1,7.2822,22.735,-29.755,0
-0.0077444,3.1667,-1.481e-21,1.1782,1,7.3515,22.742,-29.686,0
-0.0079208,3.1685,1.2189e-22,1.1725,1,7.4209,22.749,-29.617,0
-0.0080986,3.1704,1.6143e-21,1.1668,1,7.4902,22.756,-29.548,0
-0.0082565,3.1722,2.7769e-21,1.1611,1,7.5596,22.763,-29.479,0
-0.0083289,3.174,3.0008e-21,1.1555,1,7.629,22.77,-29.41,0
-0.008401,3.1758,3.2258e-21,1.1498,1,7.6983,22.777,-29.341,0
-0.0084729,3.1776,3.4516e-21,1.1442,1,7.7677,22.784,-29.272,0
-0.0085445,3.1794,3.6784e-21,1.1385,1,7.837,22.791,-29.203,0
-0.0086159,3.1812,3.9062e-21,1.1329,1,7.9064,22.798,-29.134,0
-0.008687,3.183,4.1349e-21,1.1272,1,7.9757,22.805,-29.065,0
-0.0087579,3.1848,4.3645e-21,1.1215,1,8.0451,22.812,-28.996,0
-0.0088285,3.1866,4.5951e-21,1.1158,1,8.1144,22.819,-28.927,0
-0.0088989,3.1884,4.8267e-21,1.1101,1,8.1838,22.826,-28.858,0
-0.008969,3.1902,5.0591e-21,1.1044,1,8.2531,22.833,-28.789,0
-0.0090389,3.192,5.2926e-21,1.0987,1,8.3225,22.84,-28.72,0
