#           x             T        mag(U)             p
       -4.995       348.432   1.08676e-12        100000
       -4.985       348.432   2.53089e-12        100000
       -4.975       348.432   3.77082e-12        100000
       -4.965       348.432   5.12014e-12        100000
       -4.955       348.432   4.87216e-12        100000
       -4.945       348.432   4.05527e-12        100000
       -4.935       348.432   1.69213e-12        100000
       -4.925       348.432   2.77159e-13        100000
       -4.915       348.432   2.33397e-13        100000
       -4.905       348.432   1.31286e-13        100000
       -4.895       348.432   1.04299e-12        100000
       -4.885       348.432   1.25451e-12        100000
       -4.875       348.432   3.13627e-13        100000
       -4.865       348.432   4.74087e-13        100000
       -4.855       348.432   1.82341e-13        100000
       -4.845       348.432   5.10555e-14        100000
       -4.835       348.432   1.18157e-12        100000
       -4.825       348.432   1.89635e-12        100000
       -4.815       348.432   2.36314e-12        100000
       -4.805       348.432   1.96928e-12        100000
       -4.795       348.432   1.67754e-12        100000
       -4.785       348.432   1.41497e-12        100000
       -4.775       348.432   2.20997e-12        100000
       -4.765       348.432   1.44414e-12        100000
       -4.755       348.432   8.53357e-13        100000
       -4.745       348.432   4.74088e-13        100000
       -4.735       348.432   1.71401e-12        100000
       -4.725       348.432   2.20268e-12        100000
       -4.715       348.432   1.63377e-12        100000
       -4.705       348.432   2.44337e-12        100000
       -4.695       348.432   1.81612e-12        100000
       -4.685       348.432   1.93282e-12        100000
       -4.675       348.432    2.4069e-13        100000
       -4.665       348.432   4.81381e-13        100000
       -4.655       348.432    7.0019e-13        100000
       -4.645       348.432   1.02841e-12        100000
       -4.635       348.432   1.38579e-13        100000
       -4.625       348.432    1.2618e-12        100000
       -4.615       348.432   3.60306e-12        100000
       -4.605       348.432     5.514e-12        100000
       -4.595       348.432   7.10401e-12        100000
       -4.585       348.432   7.19883e-12        100000
       -4.575       348.432   6.06831e-12        100000
       -4.565       348.432   5.03262e-12        100000
       -4.555       348.432   4.15738e-12        100000
       -4.545       348.432   4.64606e-12        100000
       -4.535       348.432   5.87869e-12        100000
       -4.525       348.432   7.53434e-12        100000
       -4.515       348.432    7.8042e-12        100000
       -4.505       348.432   5.87138e-12        100000
       -4.495       348.432   4.76275e-12        100000
       -4.485       348.432   5.30249e-12        100000
       -4.475       348.432   6.19231e-12        100000
       -4.465       348.432   5.95161e-12        100000
       -4.455       348.432   5.61611e-12        100000
       -4.445       348.432   6.67369e-12        100000
       -4.435       348.432   7.87714e-12        100000
       -4.425       348.432   7.29365e-12        100000
       -4.415       348.432   7.03837e-12        100000
       -4.405       348.432   5.90057e-12        100000
       -4.395       348.432   6.03185e-12        100000
       -4.385       348.432   7.27177e-12        100000
       -4.375       348.432   8.60651e-12        100000
       -4.365       348.432   8.76697e-12        100000
       -4.355       348.432   7.82609e-12        100000
       -4.345       348.432   5.29519e-12        100000
       -4.335       348.432    4.3616e-12        100000
       -4.325       348.432   4.41996e-12        100000
       -4.315       348.432   5.01803e-12        100000
       -4.305       348.432   6.16313e-12        100000
       -4.295       348.432   8.18348e-12        100000
       -4.285       348.432   9.56924e-12        100000
       -4.275       348.432   9.90477e-12        100000
       -4.265       348.432   8.73779e-12        100000
       -4.255       348.432   7.07484e-12        100000
       -4.245       348.432   7.17695e-12        100000
       -4.235       348.432   8.71591e-12        100000
       -4.225       348.432   9.02954e-12        100000
       -4.215       348.432   7.47599e-12        100000
       -4.205       348.432   6.34547e-12        100000
       -4.195       348.432   5.68904e-12        100000
       -4.185       348.432   6.03914e-12        100000
       -4.175       348.432   8.20536e-12        100000
       -4.165       348.432   9.36505e-12        100000
       -4.155       348.432   8.80344e-12        100000
       -4.145       348.432    6.5497e-12        100000
       -4.135       348.432   4.76275e-12        100000
       -4.125       348.432   5.55047e-12        100000
       -4.115       348.432   7.84796e-12        100000
       -4.105       348.432   9.80994e-12        100000
       -4.095       348.432   1.04955e-11        100000
       -4.085       348.432   8.97848e-12        100000
       -4.075       348.432   6.63722e-12        100000
       -4.065       348.432   4.99615e-12        100000
       -4.055       348.432   5.34625e-12        100000
       -4.045       348.432   4.91592e-12        100000
       -4.035       348.432   5.08368e-12        100000
       -4.025       348.432   5.28061e-12        100000
       -4.015       348.432   5.48483e-12        100000
       -4.005       348.432   5.63069e-12        100000
       -3.995       348.432   5.29519e-12        100000
       -3.985       348.432   4.20114e-12        100000
       -3.975       348.432   2.49443e-12        100000
       -3.965       348.432   4.30326e-13        100000
       -3.955       348.432   8.24183e-13        100000
       -3.945       348.432   3.87293e-12        100000
       -3.935       348.432   6.92167e-12        100000
       -3.925       348.432   8.45334e-12        100000
       -3.915       348.432    8.7305e-12        100000
       -3.905       348.432    9.6495e-12        100000
       -3.895       348.432    9.4234e-12        100000
       -3.885       348.432   9.11706e-12        100000
       -3.875       348.432   8.92014e-12        100000
       -3.865       348.432   8.43876e-12        100000
       -3.855       348.432   8.43876e-12        100000
       -3.845       348.432   8.16889e-12        100000
       -3.835       348.432   7.29365e-12        100000
       -3.825       348.432   6.06103e-12        100000
       -3.815       348.432   4.54394e-12        100000
       -3.805       348.432   4.58771e-12        100000
       -3.795       348.432   5.71822e-12        100000
       -3.785       348.432    7.2353e-12        100000
       -3.775       348.432   8.86179e-12        100000
       -3.765       348.432   9.00766e-12        100000
       -3.755       348.432   8.47522e-12        100000
       -3.745       348.432    6.5497e-12        100000
       -3.735       348.432   5.12744e-12        100000
       -3.725       348.432   5.44836e-12        100000
       -3.715       348.432   6.11208e-12        100000
       -3.705       348.432   7.63646e-12        100000
       -3.695       348.432    8.1543e-12        100000
       -3.685       348.432   8.93472e-12        100000
       -3.675       348.432   9.35776e-12        100000
       -3.665       348.432   1.03642e-11        100000
       -3.655       348.432    9.2994e-12        100000
       -3.645       348.432   7.59269e-12        100000
       -3.635       348.432    6.7758e-12        100000
       -3.625       348.432   6.29442e-12        100000
       -3.615       348.432   6.46947e-12        100000
       -3.605       348.432   6.14855e-12        100000
       -3.595       348.432   5.13473e-12        100000
       -3.585       348.432   6.26525e-12        100000
       -3.575       348.432   6.09749e-12        100000
       -3.565       348.432   5.47754e-12        100000
       -3.555       348.432   5.30248e-12        100000
       -3.545       348.432   4.75546e-12        100000
       -3.535       348.432   5.09097e-12        100000
       -3.525       348.432   4.95968e-12        100000
       -3.515       348.432   5.73281e-12        100000
       -3.505       348.432   6.15584e-12        100000
       -3.495       348.432   5.52858e-12        100000
       -3.485       348.432   4.97427e-12        100000
       -3.475       348.432   4.39808e-12        100000
       -3.465       348.432   3.43531e-12        100000
       -3.455       348.432   3.93128e-12        100000
       -3.445       348.432   5.57235e-12        100000
       -3.435       348.432   7.21342e-12        100000
       -3.425       348.432   5.90786e-12        100000
       -3.415       348.432   4.93051e-12        100000
       -3.405       348.432   6.03185e-12        100000
       -3.395       348.432   7.65104e-12        100000
       -3.385       348.432   9.10247e-12        100000
       -3.375       348.432   8.40957e-12        100000
       -3.365       348.432   6.57158e-12        100000
       -3.355       348.432   5.07638e-12        100000
       -3.345       348.432   3.53742e-12        100000
       -3.335       348.432   3.60306e-12        100000
       -3.325       348.432   3.47178e-12        100000
       -3.315       348.432   5.67446e-12        100000
       -3.305       348.432   6.65181e-12        100000
       -3.295       348.432   5.72551e-12        100000
       -3.285       348.432   3.93128e-12        100000
       -3.275       348.432   4.66065e-12        100000
       -3.265       348.432   5.84951e-12        100000
       -3.255       348.432   6.27254e-12        100000
       -3.245       348.432   5.31707e-12        100000
       -3.235       348.432   2.91017e-12        100000
       -3.225       348.432   1.99846e-12        100000
       -3.215       348.432   2.07869e-12        100000
       -3.205       348.432   2.79347e-12        100000
       -3.195       348.432   4.12091e-12        100000
       -3.185       348.432   5.07638e-12        100000
       -3.175       348.432   4.71899e-12        100000
       -3.165       348.432   4.08444e-12        100000
       -3.155       348.432   4.66064e-12        100000
       -3.145       348.432   5.32436e-12        100000
       -3.135       348.432   6.22877e-12        100000
       -3.125       348.432   4.79922e-12        100000
       -3.115       348.432    2.9904e-12        100000
       -3.105       348.432   2.15162e-12        100000
       -3.095       348.432   2.37773e-12        100000
       -3.085       348.432   3.09251e-12        100000
       -3.075       348.432   3.33319e-12        100000
       -3.065       348.432   4.62418e-12        100000
       -3.055       348.432   4.31055e-12        100000
       -3.045       348.432   3.35508e-12        100000
       -3.035       348.432   2.23185e-12        100000
       -3.025       348.432   3.07792e-12        100000
       -3.015       348.432   5.39001e-12        100000
       -3.005       348.432   6.56429e-12        100000
       -2.995       348.432   6.18501e-12        100000
       -2.985       348.432   3.39154e-12        100000
       -2.975       348.432   9.91937e-13        100000
       -2.965       348.432   3.71976e-13        100000
       -2.955       348.432   2.17351e-12        100000
       -2.945       348.432   5.01803e-12        100000
       -2.935       348.432   7.10401e-12        100000
       -2.925       348.432   5.86409e-12        100000
       -2.915       348.432   4.12821e-12        100000
       -2.905       348.432   3.60306e-12        100000
       -2.895       348.432   5.18579e-12        100000
       -2.885       348.432   6.89979e-12        100000
       -2.875       348.432   5.28061e-12        100000
       -2.865       348.432    4.2522e-12        100000
       -2.855       348.432   1.39309e-12        100000
       -2.845       348.432    3.7927e-13        100000
       -2.835       348.432   1.25451e-12        100000
       -2.825       348.432    3.5666e-12        100000
       -2.815       348.432   5.87868e-12        100000
       -2.805       348.432   6.52053e-12        100000
       -2.795       348.432   5.21496e-12        100000
       -2.785       348.432   2.69865e-12        100000
       -2.775       348.432   4.08444e-13        100000
       -2.765       348.432   6.49135e-13        100000
       -2.755       348.432   1.98388e-12        100000
       -2.745       348.432   2.60383e-12        100000
       -2.735       348.432   9.26292e-13        100000
       -2.725       348.432   1.70671e-12        100000
       -2.715       348.432   2.97581e-12        100000
       -2.705       348.432   9.70055e-13        100000
       -2.695       348.432   1.57543e-12        100000
       -2.685       348.432   3.25296e-12        100000
       -2.675       348.432   3.63954e-12        100000
       -2.665       348.432   2.79347e-12        100000
       -2.655       348.432   2.95393e-12        100000
       -2.645       348.432   4.34701e-12        100000
       -2.635       348.432   5.04721e-12        100000
       -2.625       348.432   4.61688e-12        100000
       -2.615       348.432   1.96929e-12        100000
       -2.605       348.432   4.88674e-13        100000
       -2.595       348.432   1.02111e-13        100000
       -2.585       348.432   1.81612e-12        100000
       -2.575       348.432   1.85988e-12        100000
       -2.565       348.432   2.88099e-12        100000
       -2.555       348.432   3.31861e-12        100000
       -2.545       348.432   2.12974e-12        100000
       -2.535       348.432   3.20921e-13        100000
       -2.525       348.432   2.19539e-12        100000
       -2.515       348.432   3.59577e-12        100000
       -2.505       348.432   3.47177e-12        100000
       -2.495       348.432   3.08521e-12        100000
       -2.485       348.432   2.13704e-12        100000
       -2.475       348.432   4.37619e-13        100000
       -2.465       348.432   3.34049e-12        100000
       -2.455       348.432   4.54395e-12        100000
       -2.445       348.432   3.56659e-12        100000
       -2.435       348.432   2.19539e-12        100000
       -2.425       348.432   7.29365e-13        100000
       -2.415       348.432   6.49135e-13        100000
       -2.405       348.432    2.4069e-13        100000
       -2.395       348.432   1.20346e-12        100000
       -2.385       348.432   3.20191e-12        100000
       -2.375       348.432   4.28866e-12        100000
       -2.365       348.432   4.06257e-12        100000
       -2.355       348.432   2.46525e-12        100000
       -2.345       348.432     4.595e-13        100000
       -2.335       348.432   1.94741e-12        100000
       -2.325       348.432   1.00652e-12        100000
       -2.315       348.432   9.77349e-13        100000
       -2.305       348.432   5.17849e-13        100000
       -2.295       348.432    7.2207e-13        100000
       -2.285       348.432    2.4069e-12        100000
       -2.275       348.432   3.63224e-12        100000
       -2.265       348.432   3.70518e-12        100000
       -2.255       348.432   2.66947e-12        100000
       -2.245       348.432   1.98388e-12        100000
       -2.235       348.432   2.49443e-12        100000
       -2.225       348.432   3.18733e-12        100000
       -2.215       348.432   5.54317e-12        100000
       -2.205       348.432    7.1259e-12        100000
       -2.195       348.432   4.78464e-12        100000
       -2.185       348.432   1.97658e-12        100000
       -2.175       348.432   1.10134e-12        100000
       -2.165       348.432   1.88176e-12        100000
       -2.155       348.432   7.65834e-13        100000
       -2.145       348.432   1.44414e-12        100000
       -2.135       348.432   3.20921e-12        100000
       -2.125       348.432   4.74817e-12        100000
       -2.115       348.432   6.32359e-12        100000
       -2.105       348.432   7.08943e-12        100000
       -2.095       348.432   7.11131e-12        100000
       -2.085       348.432   5.36084e-12        100000
       -2.075       348.432   3.93127e-12        100000
       -2.065       348.432   1.77965e-12        100000
       -2.055       348.432   4.23032e-13        100000
       -2.045       348.432   1.96929e-13        100000
       -2.035       348.432   1.70672e-12        100000
       -2.025       348.432    3.0998e-12        100000
       -2.015       348.432   3.64683e-12        100000
       -2.005       348.432   2.63301e-12        100000
       -1.995       348.432   1.55354e-12        100000
       -1.985       348.432   1.04299e-12        100000
