#           x             T        mag(U)             p
       -4.995       348.432   1.69213e-12        100000
       -4.985       348.432   1.69213e-12        100000
       -4.975       348.432   1.69213e-12        100000
       -4.965       348.432   1.69213e-12        100000
       -4.955       348.432   1.69213e-12        100000
       -4.945       348.432   1.65829e-12        100000
       -4.935       348.432    1.5906e-12        100000
       -4.925       348.432   1.52292e-12        100000
       -4.915       348.432   1.45523e-12        100000
       -4.905       348.432   1.38755e-12        100000
       -4.895       348.432   1.31986e-12        100000
       -4.885       348.432   1.25218e-12        100000
       -4.875       348.432   1.18449e-12        100000
       -4.865       348.432   1.11681e-12        100000
       -4.855       348.432   1.04912e-12        100000
       -4.845       348.432   9.91357e-13        100000
       -4.835       348.432    9.4351e-13        100000
       -4.825       348.432   8.95663e-13        100000
       -4.815       348.432   8.47817e-13        100000
       -4.805       348.432    7.9997e-13        100000
       -4.795       348.432   7.52123e-13        100000
       -4.785       348.432   7.04276e-13        100000
       -4.775       348.432    6.5643e-13        100000
       -4.765       348.432   6.08583e-13        100000
       -4.755       348.432   5.60736e-13        100000
       -4.745       348.432   5.30832e-13        100000
       -4.735       348.432   5.18871e-13        100000
       -4.725       348.432   5.06909e-13        100000
       -4.715       348.432   4.94947e-13        100000
       -4.705       348.432   4.82986e-13        100000
       -4.695       348.432   4.71024e-13        100000
       -4.685       348.432   4.59063e-13        100000
       -4.675       348.432   4.47101e-13        100000
       -4.665       348.432   4.35139e-13        100000
       -4.655       348.432   4.23178e-13        100000
       -4.645       348.432   3.96337e-13        100000
       -4.635       348.432   3.54617e-13        100000
       -4.625       348.432   3.12898e-13        100000
       -4.615       348.432   2.71178e-13        100000
       -4.605       348.432   2.29458e-13        100000
       -4.595       348.432   1.87739e-13        100000
       -4.585       348.432   1.46019e-13        100000
       -4.575       348.432   1.04299e-13        100000
       -4.565       348.432   6.25796e-14        100000
       -4.555       348.432   2.08599e-14        100000
       -4.545       348.432    6.3017e-14        100000
       -4.535       348.432   1.89051e-13        100000
       -4.525       348.432   3.15085e-13        100000
       -4.515       348.432   4.41119e-13        100000
       -4.505       348.432   5.67153e-13        100000
       -4.495       348.432   6.93187e-13        100000
       -4.485       348.432   8.19221e-13        100000
       -4.475       348.432   9.45255e-13        100000
       -4.465       348.432   1.07129e-12        100000
       -4.455       348.432   1.19732e-12        100000
       -4.445       348.432   1.19776e-12        100000
       -4.435       348.432    1.0726e-12        100000
       -4.425       348.432   9.47443e-13        100000
       -4.415       348.432   8.22284e-13        100000
       -4.405       348.432   6.97126e-13        100000
       -4.395       348.432   5.71967e-13        100000
       -4.385       348.432   4.46808e-13        100000
       -4.375       348.432   3.21649e-13        100000
       -4.365       348.432   1.96491e-13        100000
       -4.355       348.432   7.13318e-14        100000
       -4.345       348.432   7.17698e-14        100000
       -4.335       348.432   1.97805e-13        100000
       -4.325       348.432   3.23839e-13        100000
       -4.315       348.432   4.49874e-13        100000
       -4.305       348.432   5.75909e-13        100000
       -4.295       348.432   7.01944e-13        100000
