"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0026573,2.6968,-2.4872e-19,0.93187,1,5.4552,55.539,-0.0715,0
-0.0026515,2.6771,-2.3969e-19,0.92893,1,5.526,55.546,-0.001,0
-0.0026458,2.6574,-2.3067e-19,0.926,1,5.5969,55.553,0.0695,0
-0.00264,2.6377,-2.2164e-19,0.92306,1,5.6677,55.56,0.14,0
-0.0026342,2.618,-2.1261e-19,0.92012,1,5.7386,55.567,0.2105,0
-0.0026284,2.5983,-2.0359e-19,0.91718,1,5.8094,55.574,0.281,0
-0.0026227,2.5786,-1.9456e-19,0.91424,1,5.8803,55.581,0.3515,0
-0.0026169,2.5589,-1.8553e-19,0.9113,1,5.9511,55.588,0.422,0
-0.0026111,2.5392,-1.765e-19,0.90836,1,6.022,55.595,0.4925,0
-0.0026053,2.5195,-1.6748e-19,0.90542,1,6.0928,55.602,0.563,0
-0.0025995,2.4998,-1.5845e-19,0.90248,1,6.1637,55.609,0.6335,0
-0.0025938,2.4801,-1.4942e-19,0.89954,1,6.2345,55.616,0.704,0
-0.002588,2.4604,-1.404e-19,0.8966,1,6.3054,55.623,0.7745,0
-0.0025822,2.4407,-1.3137e-19,0.89366,1,6.3762,55.63,0.845,0
-0.0025764,2.421,-1.2234e-19,0.89072,1,6.447,55.637,0.9155,0
-0.0025604,2.4019,-1.1916e-19,0.8875,1,6.5179,55.644,0.986,0
-0.0025403,2.3831,-1.1823e-19,0.88416,1,6.5887,55.651,1.0565,0
-0.0025203,2.3643,-1.173e-19,0.88082,1,6.6596,55.658,1.127,0
-0.0025003,2.3455,-1.1636e-19,0.87748,1,6.7304,55.665,1.1975,0
-0.0024715,2.3278,-1.104e-19,0.8742,1,6.8013,55.672,1.268,0
-0.0024408,2.3102,-1.0338e-19,0.87094,1,6.8721,55.679,1.3385,0
-0.0024101,2.2927,-9.6347e-20,0.86768,1,6.943,55.686,1.409,0
-0.0023794,2.2751,-8.9317e-20,0.86441,1,7.0138,55.693,1.4795,0
-0.0023488,2.2576,-8.2288e-20,0.86115,1,7.0847,55.7,1.55,0
-0.0023181,2.24,-7.5259e-20,0.85789,1,7.1555,55.707,1.6205,0
-0.0022874,2.2225,-6.823e-20,0.85462,1,7.2264,55.714,1.691,0
-0.0022568,2.2049,-6.1201e-20,0.85136,1,7.2972,55.721,1.7615,0
-0.0022261,2.1874,-5.4172e-20,0.84809,1,7.3681,55.728,1.832,0
-0.0021954,2.1698,-4.7142e-20,0.84483,1,7.4389,55.735,1.9025,0
-0.0021648,2.1523,-4.0113e-20,0.84157,1,7.5097,55.742,1.973,0
-0.0021341,2.1348,-3.3084e-20,0.8383,1,7.5806,55.749,2.0435,0
-0.0021034,2.1172,-2.6055e-20,0.83504,1,7.6514,55.756,2.114,0
-0.0020764,2.0992,-2.1114e-20,0.83169,1,7.7223,55.763,2.1845,0
-0.0020576,2.0803,-2.0923e-20,0.82815,1,7.7931,55.77,2.255,0
-0.0020389,2.0613,-2.0733e-20,0.82462,1,7.864,55.777,2.3255,0
-0.0020202,2.0424,-2.0542e-20,0.82108,1,7.9348,55.784,2.396,0
-0.0020014,2.0234,-2.0352e-20,0.81754,1,8.0057,55.791,2.4665,0
-0.0019827,2.0045,-2.0161e-20,0.81401,1,8.0765,55.798,2.537,0
-0.0019143,1.9872,-2.1413e-20,0.81039,1,8.1474,55.805,2.6075,0
-0.0017756,1.9722,-2.4712e-20,0.80666,1,8.2182,55.812,2.678,0
-0.0016368,1.9572,-2.8012e-20,0.80293,1,8.2891,55.819,2.7485,0
-0.001498,1.9422,-3.1311e-20,0.79921,1,8.3599,55.826,2.819,0
-0.0013593,1.9272,-3.461e-20,0.79548,1,8.4308,55.833,2.8895,0
-0.0012205,1.9123,-3.7909e-20,0.79175,1,8.5016,55.84,2.96,0
-0.0010817,1.8973,-4.1209e-20,0.78802,1,8.5724,55.847,3.0305,0
-0.00094295,1.8823,-4.4508e-20,0.7843,1,8.6433,55.854,3.101,0
-0.00080418,1.8673,-4.7807e-20,0.78057,1,8.7141,55.861,3.1715,0
-0.00066541,1.8523,-5.1106e-20,0.77684,1,8.785,55.868,3.242,0
-0.00052665,1.8373,-5.4405e-20,0.77311,1,8.8558,55.875,3.3125,0
-0.00038788,1.8223,-5.7705e-20,0.76938,1,8.9267,55.882,3.383,0
-0.00038371,1.8029,-5.709e-20,0.76521,1,8.9975,55.889,3.4535,0
-0.00037957,1.7835,-5.6475e-20,0.76103,1,9.0684,55.896,3.524,0
-0.00037544,1.7641,-5.586e-20,0.75685,1,9.1392,55.903,3.5945,0
-0.0003713,1.7446,-5.5245e-20,0.75268,1,9.2101,55.91,3.665,0
-0.00036717,1.7252,-5.463e-20,0.7485,1,9.2809,55.917,3.7355,0
-0.00036303,1.7058,-5.4014e-20,0.74432,1,9.3518,55.924,3.806,0
-0.0003589,1.6863,-5.3399e-20,0.74015,1,9.4226,55.931,3.8765,0
-0.00035768,1.6687,-5.839e-20,0.73593,1,9.4935,55.938,3.947,0
-0.0003614,1.654,-7.2861e-20,0.73166,1,9.5643,55.945,4.0175,0
-0.00036512,1.6392,-8.7331e-20,0.72739,1,9.6351,55.952,4.088,0
-0.00036884,1.6245,-1.018e-19,0.72312,1,9.706,55.959,4.1585,0
-0.00037255,1.6098,-1.1627e-19,0.71885,1,9.7768,55.966,4.229,0
-0.00037627,1.5951,-1.3074e-19,0.71458,1,9.8477,55.973,4.2995,0
-0.00037999,1.5804,-1.4521e-19,0.71031,1,9.9185,55.98,4.37,0
-0.00038371,1.5657,-1.5968e-19,0.70604,1,9.9894,55.987,4.4405,0
-0.00038743,1.551,-1.7415e-19,0.70177,1,10.06,55.994,4.511,0
-0.00039094,1.5361,-1.8822e-19,0.69748,1,10.131,56.001,4.5815,0
-0.00038584,1.5161,-1.8577e-19,0.69229,1,10.202,56.008,4.652,0
-0.00038075,1.4961,-1.8332e-19,0.68709,1,10.273,56.015,4.7225,0
-0.00037566,1.4761,-1.8087e-19,0.68189,1,10.344,56.022,4.793,0
-0.00037057,1.4561,-1.7842e-19,0.6767,1,10.414,56.029,4.8635,0
-0.00036548,1.4361,-1.7597e-19,0.6715,1,10.485,56.036,4.934,0
-0.00036039,1.4161,-1.7352e-19,0.6663,1,10.556,56.043,5.0045,0
-0.0003553,1.3961,-1.7107e-19,0.66111,1,10.627,56.05,5.075,0
-0.00035021,1.3761,-1.6862e-19,0.65591,1,10.698,56.057,5.1455,0
-0.00034512,1.3561,-1.6617e-19,0.65071,1,10.769,56.064,5.216,0
0.00012739,1.3433,-1.3599e-19,0.64543,1,10.84,56.071,5.2865,0
0.00063755,1.331,-1.0359e-19,0.64014,1,10.91,56.078,5.357,0
0.0011477,1.3187,-7.1179e-20,0.63486,1,10.981,56.085,5.4275,0
0.0016579,1.3065,-3.8772e-20,0.62957,1,11.052,56.092,5.498,0
0.002168,1.2942,-6.365e-21,0.62428,1,11.123,56.099,5.5685,0
0.0026782,1.282,2.6042e-20,0.61899,1,11.194,56.106,5.639,0
0.0031883,1.2697,5.8449e-20,0.6137,1,11.265,56.113,5.7095,0
0.0033707,1.2524,7.1417e-20,0.60701,1,11.335,56.12,5.78,0
0.0033144,1.2315,7.0222e-20,0.59929,1,11.406,56.127,5.8505,0
0.003258,1.2105,6.9028e-20,0.59157,1,11.477,56.134,5.921,0
0.0032016,1.1896,6.7834e-20,0.58385,1,11.548,56.141,5.9915,0
0.0031453,1.1686,6.664e-20,0.57613,1,11.619,56.148,6.062,0
0.0030889,1.1477,6.5445e-20,0.56841,1,11.69,56.155,6.1325,0
0.0030325,1.1268,6.4251e-20,0.56069,1,11.761,56.162,6.203,0
0.0029762,1.1058,6.3057e-20,0.55297,1,11.831,56.169,6.2735,0
0.0029198,1.0849,6.1863e-20,0.54525,1,11.902,56.176,6.344,0
0.0028634,1.0639,6.0668e-20,0.53753,1,11.973,56.183,6.4145,0
0.003065,1.046,5.5672e-20,0.52967,1,12.044,56.19,6.485,0
0.0039554,1.0361,4.0521e-20,0.52144,1,12.115,56.197,6.5555,0
0.0048458,1.0263,2.537e-20,0.5132,1,12.186,56.204,6.626,0
0.0057362,1.0164,1.0218e-20,0.50496,1,12.256,56.211,6.6965,0
0.0066266,1.0065,-4.9332e-21,0.49673,1,12.327,56.218,6.767,0
0.007517,0.99666,-2.0085e-20,0.48849,1,12.398,56.225,6.8375,0
0.0075149,0.97635,-2.2078e-20,0.47601,1,12.469,56.232,6.908,0
0.0073433,0.95406,-2.1574e-20,0.46273,1,12.54,56.239,6.9785,0
0.0071718,0.93177,-2.107e-20,0.44945,1,12.611,56.246,7.049,0
0.0070002,0.90948,-2.0566e-20,0.43616,1,12.682,56.253,7.1195,0
0.0068286,0.88719,-2.0062e-20,0.42288,1,12.752,56.26,7.19,0
0.0066571,0.8649,-1.9558e-20,0.40959,1,12.823,56.267,7.2605,0
0.0064855,0.84261,-1.9054e-20,0.39631,1,12.894,56.274,7.331,0
0.0063139,0.82032,-1.855e-20,0.38302,1,12.965,56.281,7.4015,0
0.0061424,0.79803,-1.8046e-20,0.36974,1,13.036,56.288,7.472,0
0.0059708,0.77574,-1.7542e-20,0.35646,1,13.107,56.295,7.5425,0
0.0057992,0.75345,-1.7038e-20,0.34317,1,13.177,56.302,7.613,0
0.0071119,0.73989,-1.2873e-20,0.32959,1,13.248,56.309,7.6835,0
0.009526,0.73279,-5.9922e-21,0.3158,1,13.319,56.316,7.754,0
0.01194,0.7257,8.8875e-22,0.302,1,13.39,56.323,7.8245,0
0.014354,0.71861,7.7697e-21,0.28821,1,13.461,56.33,7.895,0
