#           x             T        mag(U)             p
       -4.995       348.432   3.85105e-13        100000
       -4.985       348.432   3.85105e-13        100000
       -4.975       348.432   3.85105e-13        100000
       -4.965       348.432   3.85105e-13        100000
       -4.955       348.432   3.85105e-13        100000
       -4.945       348.432   3.66287e-13        100000
       -4.935       348.432   3.28652e-13        100000
       -4.925       348.432   2.91017e-13        100000
       -4.915       348.432   2.53382e-13        100000
       -4.905       348.432   2.15746e-13        100000
       -4.895       348.432   1.78111e-13        100000
       -4.885       348.432   1.40476e-13        100000
       -4.875       348.432   1.02841e-13        100000
       -4.865       348.432   6.52053e-14        100000
       -4.855       348.432     2.757e-14        100000
       -4.845       348.432    2.0714e-14        100000
       -4.835       348.432   4.46371e-14        100000
       -4.825       348.432   6.85603e-14        100000
       -4.815       348.432   9.24834e-14        100000
       -4.805       348.432   1.16407e-13        100000
       -4.795       348.432    1.4033e-13        100000
       -4.785       348.432   1.64253e-13        100000
       -4.775       348.432   1.88176e-13        100000
       -4.765       348.432   2.12099e-13        100000
       -4.755       348.432   2.36022e-13        100000
       -4.745       348.432   2.42878e-13        100000
       -4.735       348.432   2.32667e-13        100000
       -4.725       348.432   2.22456e-13        100000
       -4.715       348.432   2.12245e-13        100000
       -4.705       348.432   2.02034e-13        100000
       -4.695       348.432   1.91823e-13        100000
       -4.685       348.432   1.81612e-13        100000
       -4.675       348.432   1.71401e-13        100000
       -4.665       348.432    1.6119e-13        100000
       -4.655       348.432   1.50979e-13        100000
       -4.645       348.432   1.38579e-13        100000
       -4.635       348.432   1.23992e-13        100000
       -4.625       348.432   1.09405e-13        100000
       -4.615       348.432   9.48175e-14        100000
       -4.605       348.432   8.02302e-14        100000
       -4.595       348.432   6.56429e-14        100000
       -4.585       348.432   5.10556e-14        100000
       -4.575       348.432   3.64683e-14        100000
       -4.565       348.432    2.1881e-14        100000
       -4.555       348.432   7.29365e-15        100000
       -4.545       348.432   1.92552e-14        100000
       -4.535       348.432   5.77657e-14        100000
       -4.525       348.432   9.62763e-14        100000
       -4.515       348.432   1.34787e-13        100000
       -4.505       348.432   1.73297e-13        100000
       -4.495       348.432   2.11808e-13        100000
       -4.485       348.432   2.50318e-13        100000
       -4.475       348.432   2.88829e-13        100000
       -4.465       348.432   3.27339e-13        100000
       -4.455       348.432    3.6585e-13        100000
       -4.445       348.432   3.66287e-13        100000
       -4.435       348.432   3.28652e-13        100000
       -4.425       348.432   2.91017e-13        100000
       -4.415       348.432   2.53382e-13        100000
       -4.405       348.432   2.15746e-13        100000
       -4.395       348.432   1.78111e-13        100000
       -4.385       348.432   1.40476e-13        100000
       -4.375       348.432   1.02841e-13        100000
       -4.365       348.432   6.52053e-14        100000
       -4.355       348.432     2.757e-14        100000
       -4.345       348.432   2.80076e-14        100000
       -4.335       348.432   6.65181e-14        100000
       -4.325       348.432   1.05029e-13        100000
       -4.315       348.432   1.43539e-13        100000
       -4.305       348.432   1.82049e-13        100000
       -4.295       348.432    2.2056e-13        100000
       -4.285       348.432    2.5907e-13        100000
       -4.275       348.432   2.97581e-13        100000
       -4.265       348.432   3.36091e-13        100000
       -4.255       348.432   3.74602e-13        100000
       -4.245       348.432   3.74164e-13        100000
       -4.235       348.432   3.34778e-13        100000
       -4.225       348.432   2.95393e-13        100000
       -4.215       348.432   2.56007e-13        100000
       -4.205       348.432   2.16621e-13        100000
       -4.195       348.432   1.77236e-13        100000
       -4.185       348.432    1.3785e-13        100000
       -4.175       348.432   9.84642e-14        100000
       -4.165       348.432   5.90785e-14        100000
       -4.155       348.432   1.96928e-14        100000
       -4.145       348.432   2.46765e-34        100000
       -4.135       348.432    2.2079e-34        100000
       -4.125       348.432   1.94815e-34        100000
       -4.115       348.432   1.68839e-34        100000
       -4.105       348.432   1.42864e-34        100000
       -4.095       348.432   1.16889e-34        100000
       -4.085       348.432   9.09136e-35        100000
       -4.075       348.432   6.49383e-35        100000
       -4.065       348.432    3.8963e-35        100000
