#           x             T        mag(U)             p
       -4.995       348.432   1.68483e-12        100000
       -4.985       348.432   2.69136e-12        100000
       -4.975       348.432   2.28292e-12        100000
       -4.965       348.432   6.56429e-13        100000
       -4.955       348.432   7.29365e-13        100000
       -4.945       348.432    7.0019e-13        100000
       -4.935       348.432    2.1881e-13        100000
       -4.925       348.432   7.73127e-13        100000
       -4.915       348.432   1.17428e-12        100000
       -4.905       348.432   1.07216e-12        100000
       -4.895       348.432   1.01382e-12        100000
       -4.885       348.432   1.47331e-12        100000
       -4.875       348.432   2.06411e-12        100000
       -4.865       348.432   1.53896e-12        100000
       -4.855       348.432   1.96928e-13        100000
       -4.845       348.432   1.45144e-12        100000
       -4.835       348.432   2.49443e-12        100000
       -4.825       348.432   2.33397e-13        100000
       -4.815       348.432   2.85182e-12        100000
       -4.805       348.432   4.20115e-12        100000
       -4.795       348.432   3.57389e-12        100000
       -4.785       348.432   2.69136e-12        100000
       -4.775       348.432   1.77965e-12        100000
       -4.765       348.432   1.50978e-12        100000
       -4.755       348.432    1.7213e-12        100000
       -4.745       348.432   1.66295e-12        100000
       -4.735       348.432   1.61919e-12        100000
       -4.725       348.432   1.59731e-12        100000
       -4.715       348.432   1.91093e-12        100000
       -4.705       348.432   2.42149e-12        100000
       -4.695       348.432   3.16544e-12        100000
       -4.685       348.432   1.53167e-12        100000
       -4.675       348.432   3.71976e-13        100000
       -4.665       348.432   1.31286e-13        100000
       -4.655       348.432   4.81381e-13        100000
       -4.645       348.432   4.08445e-13        100000
       -4.635       348.432    1.3785e-12        100000
       -4.625       348.432   2.38502e-12        100000
       -4.615       348.432   2.26104e-12        100000
       -4.605       348.432   2.10058e-12        100000
       -4.595       348.432   6.27254e-13        100000
       -4.585       348.432   8.16889e-13        100000
       -4.575       348.432   1.16698e-13        100000
       -4.565       348.432    1.9547e-12        100000
       -4.555       348.432   4.05527e-12        100000
       -4.545       348.432   3.45719e-12        100000
       -4.535       348.432   1.36392e-12        100000
       -4.525       348.432   1.31285e-12        100000
       -4.515       348.432   4.07715e-12        100000
       -4.505       348.432   4.53665e-12        100000
       -4.495       348.432   3.51554e-12        100000
       -4.485       348.432   2.02034e-12        100000
       -4.475       348.432   2.20268e-12        100000
       -4.465       348.432   2.80805e-12        100000
       -4.455       348.432   5.57964e-12        100000
       -4.445       348.432   8.93472e-12        100000
       -4.435       348.432   1.06196e-11        100000
       -4.425       348.432   8.30018e-12        100000
       -4.415       348.432   6.74663e-12        100000
       -4.405       348.432   6.00996e-12        100000
       -4.395       348.432   5.44106e-12        100000
       -4.385       348.432    4.2522e-12        100000
       -4.375       348.432   2.31938e-12        100000
       -4.365       348.432   2.28291e-12        100000
       -4.355       348.432   4.16468e-12        100000
       -4.345       348.432   5.39001e-12        100000
       -4.335       348.432   6.30171e-12        100000
       -4.325       348.432   6.40382e-12        100000
       -4.315       348.432   4.66064e-12        100000
       -4.305       348.432   3.50096e-12        100000
       -4.295       348.432   3.95316e-12        100000
       -4.285       348.432   4.62417e-12        100000
       -4.275       348.432   5.99538e-12        100000
       -4.265       348.432   7.13319e-12        100000
       -4.255       348.432   6.24336e-12        100000
       -4.245       348.432   5.48483e-12        100000
       -4.235       348.432    4.1355e-12        100000
       -4.225       348.432   5.82034e-12        100000
       -4.215       348.432   7.61457e-12        100000
       -4.205       348.432   6.65181e-12        100000
       -4.195       348.432   6.06831e-12        100000
       -4.185       348.432   7.16236e-12        100000
       -4.175       348.432   7.90632e-12        100000
       -4.165       348.432   7.53434e-12        100000
       -4.155       348.432    5.7474e-12        100000
       -4.145       348.432   5.94433e-12        100000
       -4.135       348.432   6.18501e-12        100000
       -4.125       348.432   6.30171e-12        100000
       -4.115       348.432   6.16314e-12        100000
       -4.105       348.432   5.17849e-12        100000
       -4.095       348.432   5.83492e-12        100000
       -4.085       348.432   5.89327e-12        100000
       -4.075       348.432   4.06986e-12        100000
       -4.065       348.432   1.59001e-12        100000
       -4.055       348.432   1.23992e-13        100000
       -4.045       348.432   3.79269e-13        100000
       -4.035       348.432   2.49443e-12        100000
       -4.025       348.432   3.77811e-12        100000
       -4.015       348.432   3.93128e-12        100000
       -4.005       348.432   3.73435e-12        100000
       -3.995       348.432   4.16467e-12        100000
       -3.985       348.432   3.44989e-12        100000
       -3.975       348.432   1.59731e-12        100000
       -3.965       348.432    1.2691e-12        100000
       -3.955       348.432   2.58195e-12        100000
       -3.945       348.432   4.03339e-12        100000
       -3.935       348.432   3.81458e-12        100000
       -3.925       348.432   3.91669e-12        100000
       -3.915       348.432   3.07792e-12        100000
       -3.905       348.432   2.39961e-12        100000
       -3.895       348.432   2.84452e-12        100000
       -3.885       348.432   3.61765e-12        100000
       -3.875       348.432   5.66717e-12        100000
       -3.865       348.432   6.92168e-12        100000
       -3.855       348.432   8.56274e-12        100000
       -3.845       348.432   9.23376e-12        100000
       -3.835       348.432   8.57734e-12        100000
       -3.825       348.432   7.64375e-12        100000
       -3.815       348.432   7.43223e-12        100000
       -3.805       348.432   8.37311e-12        100000
       -3.795       348.432   9.10247e-12        100000
       -3.785       348.432   1.01455e-11        100000
       -3.775       348.432   1.06123e-11        100000
       -3.765       348.432   1.03351e-11        100000
       -3.755       348.432   1.01163e-11        100000
       -3.745       348.432   9.02954e-12        100000
       -3.735       348.432   7.03837e-12        100000
       -3.725       348.432   6.00996e-12        100000
       -3.715       348.432   6.48405e-12        100000
       -3.705       348.432   6.98002e-12        100000
       -3.695       348.432   7.78233e-12        100000
       -3.685       348.432   9.09518e-12        100000
       -3.675       348.432   1.11083e-11        100000
       -3.665       348.432   1.23846e-11        100000
       -3.655       348.432   1.22387e-11        100000
       -3.645       348.432   1.21512e-11        100000
       -3.635       348.432   1.20783e-11        100000
       -3.625       348.432   1.08165e-11        100000
       -3.615       348.432   8.94202e-12        100000
       -3.605       348.432   8.21994e-12        100000
       -3.595       348.432   8.43875e-12        100000
       -3.585       348.432   9.16083e-12        100000
       -3.575       348.432   1.09405e-11        100000
       -3.565       348.432   1.17938e-11        100000
       -3.555       348.432   1.11374e-11        100000
       -3.545       348.432   9.46715e-12        100000
       -3.535       348.432   7.98655e-12        100000
       -3.525       348.432     7.352e-12        100000
       -3.515       348.432   6.50594e-12        100000
       -3.505       348.432   7.29365e-12        100000
       -3.495       348.432    7.9282e-12        100000
       -3.485       348.432   8.62839e-12        100000
       -3.475       348.432   8.18348e-12        100000
       -3.465       348.432   9.13894e-12        100000
       -3.455       348.432   1.10718e-11        100000
       -3.445       348.432    1.1276e-11        100000
       -3.435       348.432   1.11447e-11        100000
       -3.425       348.432   1.08894e-11        100000
       -3.415       348.432    1.1152e-11        100000
       -3.405       348.432   1.06341e-11        100000
       -3.395       348.432   1.03789e-11        100000
       -3.385       348.432   9.44528e-12        100000
       -3.375       348.432   9.66408e-12        100000
       -3.365       348.432   8.82532e-12        100000
       -3.355       348.432   7.43223e-12        100000
       -3.345       348.432   7.24989e-12        100000
       -3.335       348.432   7.86985e-12        100000
       -3.325       348.432   7.73127e-12        100000
       -3.315       348.432   7.27177e-12        100000
       -3.305       348.432   8.05948e-12        100000
       -3.295       348.432   9.66407e-12        100000
       -3.285       348.432   1.00142e-11        100000
       -3.275       348.432   9.24106e-12        100000
       -3.265       348.432    7.9282e-12        100000
       -3.255       348.432   6.89979e-12        100000
       -3.245       348.432   5.55047e-12        100000
       -3.235       348.432   3.71977e-12        100000
       -3.225       348.432   2.31209e-12        100000
       -3.215       348.432   3.55201e-12        100000
       -3.205       348.432   4.49289e-12        100000
       -3.195       348.432   4.92322e-12        100000
       -3.185       348.432    5.9735e-12        100000
       -3.175       348.432   7.19154e-12        100000
       -3.165       348.432   7.14778e-12        100000
       -3.155       348.432   6.74662e-12        100000
       -3.145       348.432   7.63645e-12        100000
       -3.135       348.432   8.78156e-12        100000
       -3.125       348.432   8.63568e-12        100000
       -3.115       348.432   8.20536e-12        100000
       -3.105       348.432   7.21342e-12        100000
       -3.095       348.432   5.94433e-12        100000
       -3.085       348.432   3.26756e-12        100000
       -3.075       348.432   2.93934e-12        100000
       -3.065       348.432   3.39155e-12        100000
       -3.055       348.432   4.45642e-12        100000
       -3.045       348.432   6.62263e-12        100000
       -3.035       348.432    6.7831e-12        100000
       -3.025       348.432   6.52782e-12        100000
       -3.015       348.432   4.56582e-12        100000
       -3.005       348.432     2.757e-12        100000
       -2.995       348.432   1.57543e-12        100000
       -2.985       348.432   7.87714e-13        100000
       -2.975       348.432   4.30326e-13        100000
       -2.965       348.432   6.34548e-13        100000
       -2.955       348.432   1.56084e-12        100000
       -2.945       348.432    2.8737e-12        100000
       -2.935       348.432   5.40459e-12        100000
       -2.925       348.432   8.71591e-12        100000
       -2.915       348.432   1.00579e-11        100000
       -2.905       348.432    9.1827e-12        100000
       -2.895       348.432   7.84796e-12        100000
       -2.885       348.432   5.81304e-12        100000
       -2.875       348.432   3.81458e-12        100000
       -2.865       348.432   3.14356e-12        100000
       -2.855       348.432   2.85911e-12        100000
       -2.845       348.432   1.74318e-12        100000
       -2.835       348.432   8.82531e-13        100000
       -2.825       348.432   5.54317e-13        100000
       -2.815       348.432   2.15892e-12        100000
       -2.805       348.432   2.11516e-12        100000
       -2.795       348.432   7.87716e-13        100000
       -2.785       348.432   5.90788e-13        100000
       -2.775       348.432   2.59654e-12        100000
       -2.765       348.432    2.8737e-12        100000
       -2.755       348.432   2.26104e-12        100000
       -2.745       348.432   1.85258e-12        100000
       -2.735       348.432   3.35508e-13        100000
       -2.725       348.432   9.84641e-13        100000
       -2.715       348.432   4.23031e-13        100000
       -2.705       348.432   4.37619e-14        100000
       -2.695       348.432   4.01151e-13        100000
       -2.685       348.432   3.57389e-13        100000
       -2.675       348.432   1.50979e-12        100000
       -2.665       348.432   2.62571e-12        100000
       -2.655       348.432   4.60959e-12        100000
       -2.645       348.432   5.49212e-12        100000
       -2.635       348.432   4.66794e-12        100000
       -2.625       348.432   3.01228e-12        100000
       -2.615       348.432   1.07217e-12        100000
       -2.605       348.432   1.31286e-12        100000
       -2.595       348.432    1.2691e-12        100000
       -2.585       348.432   1.53167e-13        100000
       -2.575       348.432    1.4952e-12        100000
       -2.565       348.432   2.61112e-12        100000
       -2.555       348.432   2.50902e-12        100000
       -2.545       348.432   3.74893e-12        100000
       -2.535       348.432    3.7927e-12        100000
       -2.525       348.432   2.72053e-12        100000
       -2.515       348.432    2.1881e-12        100000
       -2.505       348.432   1.20346e-12        100000
       -2.495       348.432   6.78309e-13        100000
       -2.485       348.432   1.62648e-12        100000
       -2.475       348.432   4.05527e-12        100000
       -2.465       348.432   2.97362e-11        100000
       -2.455       348.432   2.48349e-10        100000
       -2.445       348.432    1.8943e-09        100000
       -2.435       348.432   1.31598e-08        100000
       -2.425       348.432   8.36918e-08        100000
       -2.415       348.432   4.87427e-07        100000
       -2.405       348.432   2.59661e-06        100000
       -2.395       348.432   1.26344e-05        100000
       -2.385       348.432   5.60678e-05        100000
       -2.375       348.432   0.000226582       99999.9
       -2.365       348.432   0.000832558       99999.7
       -2.355       348.431    0.00277722       99998.9
       -2.345       348.429    0.00839791       99996.9
       -2.335       348.423     0.0229911       99991.4
       -2.325       348.411     0.0569491       99978.7
       -2.315       348.385      0.127681       99952.3
       -2.305       348.335      0.259662         99903
       -2.295       348.253      0.481085       99820.4
       -2.285       348.127      0.817564       99694.8
       -2.275       347.953        1.2857       99520.4
       -2.265       347.727       1.88984       99295.6
       -2.255       347.454       2.62312       99023.5
       -2.245       347.139       3.47122       98709.5
       -2.235       346.787       4.41667       98360.5
       -2.225       346.405       5.44204       97983.1
       -2.215       346.001       6.53176       97583.5
       -2.205       345.577       7.67282       97166.5
       -2.195       345.138       8.85474       96736.2
       -2.185       344.688       10.0692       96295.8
       -2.175       344.228         11.31       95847.6
       -2.165        343.76        12.572       95393.6
       -2.155       343.287       13.8513       94935.3
       -2.145       342.808       15.1449       94473.7
       -2.135       342.326       16.4504       94009.9
       -2.125       341.839       17.7659       93544.5
       -2.115       341.351       19.0897       93078.1
       -2.105        340.86       20.4207       92611.2
       -2.095       340.367       21.7578       92144.2
       -2.085       339.873       23.1001       91677.5
       -2.075       339.377       24.4468       91211.2
       -2.065        338.88       25.7975       90745.6
       -2.055       338.382       27.1516       90280.8
       -2.045       337.884       28.5086         89817
       -2.035       337.385       29.8683       89354.5
       -2.025       336.886       31.2304       88893.2
       -2.015       336.386       32.5944       88433.3
       -2.005       335.885       33.9604       87974.7
       -1.995       335.385       35.3279       87517.6
       -1.985       334.884        36.697       87062.1
       -1.975       334.384       38.0674       86608.1
       -1.965       333.883        39.439       86155.9
       -1.955       333.382       40.8118       85705.2
       -1.945       332.881       42.1855       85256.3
       -1.935       332.381       43.5601       84809.1
       -1.925        331.88       44.9357       84363.5
       -1.915       331.379       46.3119       83919.9
       -1.905       330.879       47.6889       83477.9
       -1.895       330.378       49.0666       83037.7
       -1.885       329.878       50.4448       82599.4
       -1.875       329.378       51.8237       82162.7
       -1.865       328.878       53.2029         81728
       -1.855       328.379       54.5828       81295.1
       -1.845       327.879       55.9631         80864
       -1.835        327.38       57.3437       80434.7
       -1.825       326.881       58.7248       80007.2
       -1.815       326.383       60.1062       79581.7
       -1.805       325.884       61.4881       79157.8
       -1.795       325.386       62.8702       78735.9
       -1.785       324.888       64.2525       78315.9
       -1.775        324.39       65.6353       77897.6
       -1.765       323.893       67.0182       77481.2
       -1.755       323.396       68.4015       77066.6
       -1.745       322.899       69.7849       76653.8
       -1.735       322.403       71.1686       76242.9
       -1.725       321.907       72.5524       75833.8
       -1.715       321.411       73.9365       75426.5
       -1.705       320.916       75.3208         75021
       -1.695       320.421       76.7053       74617.5
       -1.685       319.925       78.0898       74215.6
       -1.675       319.431       79.4747       73815.5
       -1.665       318.937       80.8595       73417.4
       -1.655       318.443       82.2446         73021
       -1.645        317.95       83.6298       72626.4
       -1.635       317.456       85.0151       72233.6
       -1.625       316.963       86.4006       71842.5
       -1.615       316.471       87.7861       71453.3
       -1.605       315.978       89.1718       71065.8
       -1.595       315.486       90.5576       70680.1
       -1.585       314.995       91.9434       70296.1
       -1.575       314.504       93.3294         69914
       -1.565       314.014       94.7154       69533.6
       -1.555       313.523       96.1016       69154.9
       -1.545       313.033       97.4878         68778
       -1.535       312.543       98.8741       68402.9
       -1.525       312.053       100.261       68029.5
       -1.515       311.565       101.647       67657.8
       -1.505       311.076       103.034       67287.8
       -1.495       310.587        104.42       66919.5
       -1.485         310.1       105.806       66552.9
       -1.475       309.612       107.194       66188.1
       -1.465       309.125        108.58         65825
       -1.455       308.638       109.966       65463.6
       -1.445       308.152       111.353       65103.8
       -1.435       307.666        112.74       64745.8
       -1.425        307.18       114.128       64389.3
       -1.415       306.695       115.514       64034.6
       -1.405       306.209       116.902       63681.6
       -1.395       305.725       118.288       63330.2
       -1.385        305.24       119.675       62980.4
       -1.375       304.757       121.063       62632.3
       -1.365       304.273        122.45       62285.9
       -1.355        303.79       123.836       61941.1
       -1.345       303.307       125.223         61598
       -1.335       302.825        126.61       61256.4
       -1.325       302.343       127.998       60916.4
       -1.315       301.861       129.386       60578.1
       -1.305        301.38       130.773       60241.4
       -1.295       300.899        132.16       59906.3
       -1.285       300.419       133.547       59572.8
       -1.275       299.939       134.934       59240.8
       -1.265       299.459       136.322       58910.5
       -1.255        298.98       137.709       58581.8
       -1.245       298.501       139.096       58254.6
       -1.235       298.022       140.483       57928.9
       -1.225       297.544       141.871       57604.9
       -1.215       297.066       143.258       57282.4
       -1.205       296.589       144.645       56961.4
       -1.195       296.111       146.032       56642.1
       -1.185       295.635       147.419       56324.2
       -1.175       295.159       148.807       56007.8
       -1.165       294.683       150.194         55693
       -1.155       294.207       151.581       55379.7
       -1.145       293.732       152.968       55067.9
       -1.135       293.257       154.355       54757.6
       -1.125       292.783       155.743       54448.8
       -1.115       292.309       157.131       54141.5
       -1.105       291.836       158.517       53835.8
       -1.095       291.363       159.904       53531.4
       -1.085       290.889       161.291       53228.6
       -1.075       290.418       162.679       52927.2
       -1.065       289.946       164.066       52627.3
       -1.055       289.474       165.454       52328.9
       -1.045       289.002       166.841       52031.9
       -1.035       288.531       168.227       51736.4
       -1.025       288.061       169.614       51442.3
       -1.015       287.591       171.002       51149.7
       -1.005       287.121       172.388       50858.5
       -0.995       286.653       173.775       50568.7
       -0.985       286.183       175.162       50280.4
       -0.975       285.714       176.549       49993.5
       -0.965       285.246       177.936       49707.9
       -0.955       284.779       179.322       49423.8
       -0.945       284.312        180.71       49141.1
       -0.935       283.845       182.096       48859.8
       -0.925       283.379       183.483       48579.8
       -0.915       282.913       184.869       48301.3
       -0.905       282.447       186.255       48024.2
       -0.895       281.981       187.642       47748.3
       -0.885       281.516       189.029         47474
       -0.875       281.052       190.415       47200.9
       -0.865       280.588       191.801       46929.2
       -0.855       280.125       193.187       46658.9
       -0.845       279.661       194.574       46389.9
       -0.835       279.198       195.959       46122.3
       -0.825       278.736       197.346       45855.9
       -0.815       278.274       198.731         45591
       -0.805       277.812       200.117       45327.4
       -0.795       277.351       201.503         45065
       -0.785        276.89       202.889         44804
       -0.775        276.43       204.275       44544.3
       -0.765        275.97        205.66       44285.9
       -0.755       275.511       207.045       44028.9
       -0.745       275.051       208.431       43773.1
       -0.735       274.593       209.815       43518.6
       -0.725       274.135       211.201       43265.4
       -0.715       273.677       212.586       43013.5
       -0.705       273.219        213.97       42762.9
       -0.695       272.762       215.355       42513.6
       -0.685       272.306       216.739       42265.6
       -0.675        271.85       218.124       42018.8
       -0.665       271.394       219.508       41773.2
       -0.655       270.938       220.891         41529
       -0.645       270.484       222.275         41286
       -0.635       270.029       223.659       41044.2
       -0.625       269.576       225.042       40803.7
       -0.615       269.123       226.425       40564.5
       -0.605       268.669       227.807       40326.5
       -0.595       268.216        229.19       40089.7
       -0.585       267.764       230.572       39854.3
       -0.575       267.313       231.954       39619.9
       -0.565       266.862       233.336       39386.9
       -0.555       266.412       234.717       39155.2
       -0.545       265.962       236.098       38924.5
       -0.535       265.513       237.478       38695.2
       -0.525       265.063       238.858       38467.1
       -0.515       264.615       240.238       38240.2
       -0.505       264.167       241.617       38014.5
       -0.495        263.72       242.996       37790.1
       -0.485       263.273       244.373       37566.9
       -0.475       262.827       245.751       37344.9
       -0.465       262.381       247.128       37124.3
       -0.455       261.936       248.503       36904.8
       -0.445       261.491       249.878       36686.5
       -0.435       261.048       251.252       36469.6
       -0.425       260.605       252.626       36253.8
       -0.415       260.163       253.998       36039.4
       -0.405       259.721       255.368       35826.2
       -0.395       259.281       256.738       35614.3
       -0.385       258.841       258.105       35403.7
       -0.375       258.402       259.471       35194.4
       -0.365       257.964       260.836       34986.6
       -0.355       257.527       262.198         34780
       -0.345       257.091       263.558       34574.9
       -0.335       256.657       264.914       34371.2
       -0.325       256.224       266.269       34168.9
       -0.315       255.793        267.62       33968.3
       -0.305       255.363       268.966       33769.2
       -0.295       254.934       270.308       33571.7
       -0.285       254.508       271.644       33376.2
       -0.275       254.084       272.976       33182.3
       -0.265       253.663       274.299       32990.6
       -0.255       253.245       275.613       32800.9
       -0.245       252.831       276.919       32613.6
       -0.235        252.42       278.212         32429
       -0.225       252.014       279.492       32247.2
       -0.215       251.614       280.754       32068.6
       -0.205       251.221       281.995       31893.8
       -0.195       250.836       283.212       31723.3
       -0.185       250.462       284.398       31557.8
       -0.175       250.098       285.548         31398
       -0.165        249.75       286.653       31245.2
       -0.155       249.419       287.703       31100.5
       -0.145       249.109       288.688       30965.3
       -0.135       248.825       289.594       30841.3
