#           x             T        mag(U)             p
       -4.995       348.432   2.89704e-12        100000
       -4.985       348.432   2.89704e-12        100000
       -4.975       348.432   2.89704e-12        100000
       -4.965       348.432   2.89704e-12        100000
       -4.955       348.432   2.89704e-12        100000
       -4.945       348.432   2.85787e-12        100000
       -4.935       348.432   2.77954e-12        100000
       -4.925       348.432    2.7012e-12        100000
       -4.915       348.432   2.62287e-12        100000
       -4.905       348.432   2.54454e-12        100000
       -4.895       348.432    2.4662e-12        100000
       -4.885       348.432   2.38787e-12        100000
       -4.875       348.432   2.30954e-12        100000
       -4.865       348.432    2.2312e-12        100000
       -4.855       348.432   2.15287e-12        100000
       -4.845       348.432   2.01137e-12        100000
       -4.835       348.432   1.80671e-12        100000
       -4.825       348.432   1.60205e-12        100000
       -4.815       348.432   1.39739e-12        100000
       -4.805       348.432   1.19273e-12        100000
       -4.795       348.432   9.88071e-13        100000
       -4.785       348.432   7.83411e-13        100000
       -4.775       348.432   5.78751e-13        100000
       -4.765       348.432   3.74091e-13        100000
       -4.755       348.432   1.69432e-13        100000
       -4.745       348.432   1.08894e-13        100000
       -4.735       348.432   1.92479e-13        100000
       -4.725       348.432   2.76065e-13        100000
       -4.715       348.432    3.5965e-13        100000
       -4.705       348.432   4.43235e-13        100000
       -4.695       348.432    5.2682e-13        100000
       -4.685       348.432   6.10406e-13        100000
       -4.675       348.432   6.93991e-13        100000
       -4.665       348.432   7.77576e-13        100000
       -4.655       348.432   8.61161e-13        100000
       -4.645       348.432   9.14186e-13        100000
       -4.635       348.432   9.36651e-13        100000
       -4.625       348.432   9.59115e-13        100000
       -4.615       348.432    9.8158e-13        100000
       -4.605       348.432   1.00404e-12        100000
       -4.595       348.432   1.02651e-12        100000
       -4.585       348.432   1.04897e-12        100000
       -4.575       348.432   1.07144e-12        100000
       -4.565       348.432    1.0939e-12        100000
       -4.555       348.432   1.11637e-12        100000
       -4.545       348.432   1.31913e-12        100000
       -4.535       348.432   1.70219e-12        100000
       -4.525       348.432   2.08526e-12        100000
       -4.515       348.432   2.46832e-12        100000
       -4.505       348.432   2.85138e-12        100000
       -4.495       348.432   3.23444e-12        100000
       -4.485       348.432    3.6175e-12        100000
       -4.475       348.432   4.00057e-12        100000
       -4.465       348.432   4.38363e-12        100000
       -4.455       348.432   4.76669e-12        100000
       -4.445       348.432   5.73156e-12        100000
       -4.435       348.432   7.27825e-12        100000
       -4.425       348.432   8.82494e-12        100000
       -4.415       348.432   1.03716e-11        100000
       -4.405       348.432   1.19183e-11        100000
       -4.395       348.432    1.3465e-11        100000
       -4.385       348.432   1.50117e-11        100000
       -4.375       348.432   1.65584e-11        100000
       -4.365       348.432   1.81051e-11        100000
       -4.355       348.432   1.96518e-11        100000
       -4.345       348.432   2.42368e-11        100000
       -4.335       348.432   3.18601e-11        100000
       -4.325       348.432   3.94834e-11        100000
       -4.315       348.432   4.71068e-11        100000
       -4.305       348.432   5.47301e-11        100000
       -4.295       348.432   6.23534e-11        100000
       -4.285       348.432   6.99767e-11        100000
       -4.275       348.432   7.76001e-11        100000
       -4.265       348.432   8.52234e-11        100000
       -4.255       348.432   9.28467e-11        100000
       -4.245       348.432   1.14543e-10        100000
       -4.235       348.432   1.50312e-10        100000
       -4.225       348.432    1.8608e-10        100000
       -4.215       348.432   2.21849e-10        100000
       -4.205       348.432   2.57618e-10        100000
       -4.195       348.432   2.93387e-10        100000
       -4.185       348.432   3.29155e-10        100000
       -4.175       348.432   3.64924e-10        100000
       -4.165       348.432   4.00693e-10        100000
       -4.155       348.432   4.36462e-10        100000
       -4.145       348.432   5.35629e-10        100000
       -4.135       348.432   6.98194e-10        100000
       -4.125       348.432   8.60759e-10        100000
       -4.115       348.432   1.02332e-09        100000
       -4.105       348.432   1.18589e-09        100000
       -4.095       348.432   1.34846e-09        100000
       -4.085       348.432   1.51102e-09        100000
       -4.075       348.432   1.67359e-09        100000
       -4.065       348.432   1.83615e-09        100000
       -4.055       348.432   1.99872e-09        100000
       -4.045       348.432   2.43955e-09        100000
       -4.035       348.432   3.15865e-09        100000
       -4.025       348.432   3.87775e-09        100000
       -4.015       348.432   4.59685e-09        100000
